City Name,City ID,Country,Latitude,Longitude,Date of Data Calculation,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Barcelona,3128760,ES,41.39,2.16,1593039780,75.0,83,20,4.7
Mana,3381041,GF,5.66,-53.78,1593039830,78.49,86,33,6.64
Rikitea,4030556,PF,-23.12,-134.97,1593039830,70.66,56,89,10.56
Wilmington,4499379,US,34.23,-77.94,1593039563,86.0,66,20,10.29
Puerto Ayora,3652764,EC,-0.74,-90.35,1593039830,71.01,90,48,3.0
Hilo,5855927,US,19.73,-155.09,1593039587,80.6,69,90,16.11
Bluff,2206939,NZ,-46.6,168.33,1593039830,50.07,81,59,18.77
Tuatapere,2180815,NZ,-46.13,167.68,1593039830,45.93,82,99,4.99
Atuona,4020109,PF,-9.8,-139.03,1593039830,79.32,70,30,14.23
Castro,3466704,BR,-24.79,-50.01,1593039830,56.23,89,24,4.03
Torbay,6167817,CA,47.67,-52.73,1593039830,75.2,73,40,11.41
Dunedin,2191562,NZ,-45.87,170.5,1593039785,46.99,92,99,1.01
Bredasdorp,1015776,ZA,-34.53,20.04,1593039830,51.8,100,0,3.96
Hermanus,3366880,ZA,-34.42,19.23,1593039831,59.97,58,0,5.17
Punta Arenas,3874787,CL,-53.15,-70.92,1593039831,39.2,69,75,16.11
Vestmanna,2610343,FO,62.16,-7.17,1593039831,50.0,93,78,13.87
Ushuaia,3833367,AR,-54.8,-68.3,1593039741,35.6,93,90,10.29
Isangel,2136825,VU,-19.55,169.27,1593039831,77.0,88,75,10.94
San Cristobal,3628473,VE,7.77,-72.22,1593039803,86.0,58,40,11.41
Klaksvík,2618795,FO,62.23,-6.59,1593039831,50.0,93,51,13.87
Ponta do Sol,2264557,PT,32.67,-17.1,1593039831,71.6,60,20,10.29
Malakal,370737,SS,9.53,31.66,1593039831,75.42,80,30,4.27
Hong Kong,1819729,HK,22.29,114.16,1593039600,86.0,70,100,11.01
Vung Tau,1562414,VN,10.35,107.08,1593039831,81.68,82,100,7.85
Saint-Pierre,935214,RE,-21.34,55.48,1593039831,66.2,77,2,5.82
Calama,3897347,CL,-22.47,-68.93,1593039832,59.0,13,0,19.46
Bethel,5282297,US,41.37,-73.41,1593039832,82.99,34,1,13.87
Albany,5106841,US,42.6,-73.97,1593039682,81.0,39,1,7.65
El Tigre,3641351,VE,8.89,-64.25,1593039832,82.67,60,26,9.42
Chui,3443061,UY,-33.7,-53.46,1593039711,62.78,98,100,1.88
Mataura,6201424,NZ,-46.19,168.86,1593039832,47.98,79,50,8.63
Karaidel',552862,RU,55.83,56.91,1593039832,41.74,83,82,4.59
Hay River,5972762,CA,60.82,-115.8,1593039673,71.6,40,40,8.05
Mount Gambier,2156643,AU,-37.83,140.77,1593039832,44.6,100,75,9.17
Husavik,2629833,IS,66.04,-17.34,1593039832,55.4,71,40,20.8
Ahipara,2194098,NZ,-35.17,173.17,1593039832,60.98,83,48,5.41
Vaini,4032243,TO,-21.2,-175.2,1593039832,77.0,73,75,6.93
Jamestown,5122534,US,42.1,-79.24,1593039833,68.0,45,1,17.22
Nikolskoye,546105,RU,59.7,30.79,1593039833,64.4,68,60,4.47
Mossamedes,3347019,AO,-15.2,12.15,1593039833,69.55,57,0,4.7
Talnakh,1490256,RU,69.49,88.4,1593039833,55.4,82,74,4.47
Mahébourg,934322,MU,-20.41,57.7,1593039663,71.6,83,40,9.17
Vila Franca do Campo,3372472,PT,37.72,-25.43,1593039833,62.6,72,75,5.82
Ribeira Grande,3372707,PT,38.52,-28.7,1593039833,63.43,68,0,10.58
Tasiilaq,3424607,GL,65.61,-37.64,1593039833,39.2,86,100,3.36
Iqaluit,5983720,CA,63.75,-68.51,1593039833,46.4,75,90,2.24
Kapaa,5848280,US,22.08,-159.32,1593039833,82.4,65,1,9.17
Hobart,2163355,AU,-42.88,147.33,1593039541,51.01,93,40,3.36
Sioux Lookout,6148373,CA,50.1,-91.92,1593039833,77.0,29,20,12.75
Enugu,2343279,NG,6.44,7.49,1593039834,73.94,95,100,4.36
Pevek,2122090,RU,69.7,170.31,1593039834,32.32,96,93,4.38
Vila Velha,3445026,BR,-20.33,-40.29,1593039834,71.6,78,34,6.93
Carnarvon,2074865,AU,-24.87,113.63,1593039834,51.8,100,0,6.93
Hithadhoo,1282256,MV,-0.6,73.08,1593039795,83.28,77,78,11.16
Coyhaique,3894426,CL,-45.58,-72.07,1593039834,37.4,64,20,3.36
Saldanha,3361934,ZA,-33.01,17.94,1593039834,53.6,87,0,4.7
Chapais,5919850,CA,49.78,-74.85,1593039613,71.6,56,75,25.28
Kuusamo,649924,FI,65.97,29.18,1593039593,55.4,93,78,2.24
Butaritari,2110227,KI,3.07,172.79,1593039834,83.73,77,87,12.73
East London,1006984,ZA,-33.02,27.91,1593039834,68.61,26,0,7.05
Praia da Vitória,3372760,PT,38.73,-27.07,1593039590,64.4,77,20,9.53
Ozernovskiy,2122293,RU,51.5,156.52,1593039835,51.28,82,7,7.31
Tura,1254046,IN,25.52,90.22,1593039835,74.73,96,100,5.53
Wajid,50814,SO,3.81,43.25,1593039835,74.53,72,33,18.84
Road Town,3577430,VG,18.42,-64.62,1593039609,84.2,74,40,10.29
Nísia Floresta,3393922,BR,-6.09,-35.21,1593039835,77.0,78,75,5.82
Longyearbyen,2729907,SJ,78.22,15.64,1593039690,42.8,87,90,2.24
Khatanga,2022572,RU,71.97,102.5,1593039835,75.02,46,100,8.75
Kavieng,2094342,PG,-2.57,150.8,1593039835,85.35,66,70,13.13
