coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain
"{'lon': 2.16, 'lat': 41.39}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 74.3, 'feels_like': 77.83, 'temp_min': 73, 'temp_max': 75.99, 'pressure': 1017, 'humidity': 78}",10000.0,"{'speed': 4.7, 'deg': 190}",{'all': 20},1593038277.0,"{'type': 1, 'id': 6398, 'country': 'ES', 'sunrise': 1593058751, 'sunset': 1593113328}",7200.0,3128760.0,Barcelona,200,,
"{'lon': -53.78, 'lat': 5.66}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 78.49, 'feels_like': 84.51, 'temp_min': 78.49, 'temp_max': 78.49, 'pressure': 1010, 'humidity': 86, 'sea_level': 1010, 'grnd_level': 1010}",,"{'speed': 6.64, 'deg': 70}",{'all': 33},1593038435.0,"{'country': 'GF', 'sunrise': 1592990646, 'sunset': 1593035463}",-10800.0,3381041.0,Mana,200,,
"{'lon': -134.97, 'lat': -23.12}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 70.66, 'feels_like': 66.02, 'temp_min': 70.66, 'temp_max': 70.66, 'pressure': 1018, 'humidity': 56, 'sea_level': 1018, 'grnd_level': 1015}",,"{'speed': 10.56, 'deg': 95}",{'all': 89},1593038485.0,"{'country': 'PF', 'sunrise': 1593013258, 'sunset': 1593051828}",-32400.0,4030556.0,Rikitea,200,,
"{'lon': -77.94, 'lat': 34.23}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 86.18, 'feels_like': 88.97, 'temp_min': 84.99, 'temp_max': 87.8, 'pressure': 1012, 'humidity': 55}",16093.0,"{'speed': 6.93, 'deg': 250}",{'all': 1},1593038485.0,"{'type': 1, 'id': 4521, 'country': 'US', 'sunrise': 1592992869, 'sunset': 1593044839}",-14400.0,4499379.0,Wilmington,200,,
"{'lon': -90.35, 'lat': -0.74}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 74.95, 'feels_like': 75.16, 'temp_min': 72, 'temp_max': 80.6, 'pressure': 1009, 'humidity': 61}",10000.0,"{'speed': 5.82, 'deg': 240}",{'all': 20},1593038226.0,"{'type': 1, 'id': 8521, 'country': 'EC', 'sunrise': 1593000093, 'sunset': 1593043573}",-21600.0,3652764.0,Puerto Ayora,200,,
"{'lon': -155.09, 'lat': 19.73}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 77.02, 'feels_like': 73.71, 'temp_min': 72, 'temp_max': 80.6, 'pressure': 1017, 'humidity': 69}",16093.0,"{'speed': 16.11, 'deg': 110}",{'all': 90},1593038224.0,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1593013397, 'sunset': 1593061348}",-36000.0,5855927.0,Hilo,200,,
"{'lon': 168.33, 'lat': -46.6}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 50.07, 'feels_like': 38.21, 'temp_min': 50.07, 'temp_max': 50.07, 'pressure': 1025, 'humidity': 81, 'sea_level': 1025, 'grnd_level': 1020}",,"{'speed': 18.77, 'deg': 86}",{'all': 59},1593038486.0,"{'country': 'NZ', 'sunrise': 1593030732, 'sunset': 1593061574}",43200.0,2206939.0,Bluff,200,,
"{'lon': 167.68, 'lat': -46.13}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 45.93, 'feels_like': 41.05, 'temp_min': 45.93, 'temp_max': 45.93, 'pressure': 1023, 'humidity': 82, 'sea_level': 1023, 'grnd_level': 1020}",,"{'speed': 4.99, 'deg': 52}",{'all': 99},1593038486.0,"{'country': 'NZ', 'sunrise': 1593030778, 'sunset': 1593061840}",43200.0,2180815.0,Tuatapere,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -139.03, 'lat': -9.8}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 79.32, 'feels_like': 78.28, 'temp_min': 79.32, 'temp_max': 79.32, 'pressure': 1012, 'humidity': 70, 'sea_level': 1012, 'grnd_level': 1009}",,"{'speed': 14.23, 'deg': 87}",{'all': 30},1593038188.0,"{'country': 'PF', 'sunrise': 1593012725, 'sunset': 1593054310}",-34200.0,4020109.0,Atuona,200,,
"{'lon': -50.01, 'lat': -24.79}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 56.23, 'feels_like': 54.9, 'temp_min': 56.23, 'temp_max': 56.23, 'pressure': 1014, 'humidity': 89, 'sea_level': 1014, 'grnd_level': 902}",,"{'speed': 4.03, 'deg': 360}",{'all': 24},1593038436.0,"{'country': 'BR', 'sunrise': 1592993073, 'sunset': 1593031227}",-10800.0,3466704.0,Castro,200,,
"{'lon': -52.73, 'lat': 47.67}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 73.58, 'feels_like': 72.18, 'temp_min': 71.01, 'temp_max': 75.2, 'pressure': 1013, 'humidity': 73}",24140.0,"{'speed': 11.41, 'deg': 240, 'gust': 18.34}",{'all': 40},1593038486.0,"{'type': 1, 'id': 998, 'country': 'CA', 'sunrise': 1592984026, 'sunset': 1593041579}",-9000.0,6167817.0,Torbay,200,,
"{'lon': 170.5, 'lat': -45.87}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 46.54, 'feels_like': 37.94, 'temp_min': 46, 'temp_max': 46.99, 'pressure': 1011, 'humidity': 92}",,"{'speed': 12.93, 'deg': 63}",{'all': 99},1593038423.0,"{'type': 3, 'id': 2031989, 'country': 'NZ', 'sunrise': 1593030041, 'sunset': 1593061223}",43200.0,2191562.0,Dunedin,200,,{'1h': 0.25}
"{'lon': 20.04, 'lat': -34.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 51.8, 'feels_like': 50.16, 'temp_min': 51.8, 'temp_max': 51.8, 'pressure': 1011, 'humidity': 100}",,"{'speed': 3.96, 'deg': 263}",{'all': 0},1593038486.0,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1593064025, 'sunset': 1593099470}",7200.0,1015776.0,Bredasdorp,200,,
"{'lon': 19.23, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 59.97, 'feels_like': 55.92, 'temp_min': 59.97, 'temp_max': 59.97, 'pressure': 1011, 'humidity': 58, 'sea_level': 1011, 'grnd_level': 1008}",,"{'speed': 5.17, 'deg': 332}",{'all': 0},1593038486.0,"{'country': 'ZA', 'sunrise': 1593064202, 'sunset': 1593099681}",7200.0,3366880.0,Hermanus,200,,
"{'lon': -70.92, 'lat': -53.15}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 39.09, 'feels_like': 26.13, 'temp_min': 39, 'temp_max': 39.2, 'pressure': 1017, 'humidity': 69}",10000.0,"{'speed': 16.11, 'deg': 130}",{'all': 75},1593038281.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1593003594, 'sunset': 1593030744}",-10800.0,3874787.0,Punta Arenas,200,,
"{'lon': -7.17, 'lat': 62.16}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 50, 'feels_like': 40.5, 'temp_min': 50, 'temp_max': 50, 'pressure': 1017, 'humidity': 93}",8000.0,"{'speed': 16.11, 'deg': 200}",{'all': 78},1593038486.0,"{'type': 1, 'id': 1596, 'country': 'FO', 'sunrise': 1592966210, 'sunset': 1593037523}",3600.0,2610343.0,Vestmanna,200,,
"{'lon': -68.3, 'lat': -54.8}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,"{'temp': 35.6, 'feels_like': 26.49, 'temp_min': 35.6, 'temp_max': 35.6, 'pressure': 1019, 'humidity': 93}",10000.0,"{'speed': 10.29, 'deg': 230}",{'all': 90},1593038486.0,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1593003550, 'sunset': 1593029530}",-10800.0,3833367.0,Ushuaia,200,,
"{'lon': 169.27, 'lat': -19.55}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 77, 'feels_like': 80.15, 'temp_min': 77, 'temp_max': 77, 'pressure': 1014, 'humidity': 88}",10000.0,"{'speed': 10.94, 'deg': 138}",{'all': 75},1593038486.0,"{'type': 1, 'id': 7317, 'country': 'VU', 'sunrise': 1593026215, 'sunset': 1593065640}",39600.0,2136825.0,Isangel,200,,
"{'lon': -72.22, 'lat': 7.77}","[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50d'}]",stations,"{'temp': 86, 'feels_like': 86.94, 'temp_min': 86, 'temp_max': 86, 'pressure': 1012, 'humidity': 58}",8000.0,"{'speed': 11.41, 'deg': 360}",{'all': 40},1593038487.0,"{'type': 1, 'id': 8587, 'country': 'VE', 'sunrise': 1592994849, 'sunset': 1593040113}",-14400.0,3628473.0,San Cristobal,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -6.59, 'lat': 62.23}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 50, 'feels_like': 40.5, 'temp_min': 50, 'temp_max': 50, 'pressure': 1017, 'humidity': 93}",8000.0,"{'speed': 16.11, 'deg': 200}",{'all': 51},1593038487.0,"{'type': 1, 'id': 1596, 'country': 'FO', 'sunrise': 1592966005, 'sunset': 1593037451}",3600.0,2618795.0,Klaksvík,200,,
"{'lon': -17.1, 'lat': 32.67}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 68.49, 'feels_like': 63.95, 'temp_min': 66, 'temp_max': 71.6, 'pressure': 1022, 'humidity': 60}",10000.0,"{'speed': 10.29, 'deg': 20}",{'all': 20},1593038487.0,"{'type': 1, 'id': 6894, 'country': 'PT', 'sunrise': 1592978514, 'sunset': 1593029986}",3600.0,2264557.0,Ponta do Sol,200,,
"{'lon': 31.66, 'lat': 9.53}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 75.42, 'feels_like': 80.04, 'temp_min': 75.42, 'temp_max': 75.42, 'pressure': 1010, 'humidity': 80, 'sea_level': 1010, 'grnd_level': 965}",,"{'speed': 4.27, 'deg': 144}",{'all': 30},1593038487.0,"{'country': 'SS', 'sunrise': 1593056139, 'sunset': 1593101778}",10800.0,370737.0,Malakal,200,,
"{'lon': 114.16, 'lat': 22.29}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 84.25, 'feels_like': 89.01, 'temp_min': 82, 'temp_max': 86, 'pressure': 1006, 'humidity': 74}",,"{'speed': 10, 'deg': 210}",{'all': 100},1593038019.0,"{'type': 3, 'id': 47808, 'country': 'HK', 'sunrise': 1593034866, 'sunset': 1593083445}",28800.0,1819729.0,Hong Kong,200,,
"{'lon': 107.08, 'lat': 10.35}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 81.68, 'feels_like': 87.98, 'temp_min': 81.68, 'temp_max': 81.68, 'pressure': 1008, 'humidity': 82, 'sea_level': 1008, 'grnd_level': 1007}",,"{'speed': 7.85, 'deg': 267}",{'all': 100},1593038487.0,"{'country': 'VN', 'sunrise': 1593037946, 'sunset': 1593083764}",25200.0,1562414.0,Vung Tau,200,,{'1h': 1.64}
